iter,T,current_profit,best_profit,neighbor_profit,accepted
385,0.0418831,27791.1,27791.1,27838.6,1
386,0.0410455,27838.6,27838.6,27713.1,0
387,0.0402246,27838.6,27838.6,27865,1
388,0.0394201,27865,27865,27801.8,0
389,0.0386317,27865,27865,27806.7,0
390,0.037859,27865,27865,27764.1,0
391,0.0371019,27865,27865,27805.1,0
392,0.0363598,27865,27865,27749.6,0
393,0.0356326,27865,27865,27826.8,0
394,0.03492,27865,27865,27870.1,1
395,0.0342216,27870.1,27870.1,27822.6,0
396,0.0335371,27870.1,27870.1,27840.8,0
397,0.0328664,27870.1,27870.1,27853.4,0
398,0.0322091,27870.1,27870.1,27837.8,0
399,0.0315649,27870.1,27870.1,27864.7,0
400,0.0309336,27870.1,27870.1,27838.5,0
401,0.0303149,27870.1,27870.1,27862.9,0
402,0.0297086,27870.1,27870.1,27805.1,0
403,0.0291144,27870.1,27870.1,27797.6,0
404,0.0285322,27870.1,27870.1,27845,0
405,0.0279615,27870.1,27870.1,27757.7,0
406,0.0274023,27870.1,27870.1,27758.2,0
407,0.0268542,27870.1,27870.1,27789.3,0
408,0.0263172,27870.1,27870.1,27724.5,0
409,0.0257908,27870.1,27870.1,27775.2,0
410,0.025275,27870.1,27870.1,27713.4,0
411,0.0247695,27870.1,27870.1,27834.6,0
412,0.0242741,27870.1,27870.1,27866.1,0
413,0.0237886,27870.1,27870.1,27887.1,1
414,0.0233128,27887.1,27887.1,27965.6,1
415,0.0228466,27965.6,27965.6,27808.2,0
416,0.0223897,27965.6,27965.6,27909.4,0
417,0.0219419,27965.6,27965.6,27898.7,0
418,0.021503,27965.6,27965.6,27966.3,1
419,0.021073,27966.3,27966.3,27924.3,0
420,0.0206515,27966.3,27966.3,27992.8,1
421,0.0202385,27992.8,27992.8,27954.6,0
422,0.0198337,27992.8,27992.8,27991.8,0
423,0.019437,27992.8,27992.8,27961.5,0
424,0.0190483,27992.8,27992.8,27893.9,0
425,0.0186673,27992.8,27992.8,27909.5,0
426,0.018294,27992.8,27992.8,27834.6,0
427,0.0179281,27992.8,27992.8,27955.9,0
428,0.0175695,27992.8,27992.8,27962,0
429,0.0172181,27992.8,27992.8,27917.6,0
430,0.0168738,27992.8,27992.8,27941.2,0
431,0.0165363,27992.8,27992.8,27975.9,0
432,0.0162056,27992.8,27992.8,27876.8,0
433,0.0158815,27992.8,27992.8,27953.4,0
434,0.0155638,27992.8,27992.8,27960.4,0
435,0.0152526,27992.8,27992.8,27881.6,0
436,0.0149475,27992.8,27992.8,27930.8,0
437,0.0146486,27992.8,27992.8,27948.5,0
438,0.0143556,27992.8,27992.8,27904.6,0
439,0.0140685,27992.8,27992.8,27988,0
440,0.0137871,27992.8,27992.8,27906,0
441,0.0135114,27992.8,27992.8,27863.1,0
442,0.0132411,27992.8,27992.8,27936.7,0
443,0.0129763,27992.8,27992.8,27981.9,0
444,0.0127168,27992.8,27992.8,27836.1,0
445,0.0124625,27992.8,27992.8,27960.6,0
446,0.0122132,27992.8,27992.8,27965.5,0
447,0.0119689,27992.8,27992.8,27984.7,0
448,0.0117296,27992.8,27992.8,27914.7,0
449,0.011495,27992.8,27992.8,27977.7,0
450,0.0112651,27992.8,27992.8,27949.5,0
451,0.0110398,27992.8,27992.8,27888.1,0
452,0.010819,27992.8,27992.8,27933.8,0
453,0.0106026,27992.8,27992.8,27988.5,0
454,0.0103905,27992.8,27992.8,27963.3,0
455,0.0101827,27992.8,27992.8,27954,0
456,0.00997908,27992.8,27992.8,27896.9,0
457,0.0097795,27992.8,27992.8,27988.9,0
458,0.00958391,27992.8,27992.8,27989.1,0
459,0.00939223,27992.8,27992.8,27992.6,0
460,0.00920439,27992.8,27992.8,27917.8,0
461,0.0090203,27992.8,27992.8,27890,0
462,0.00883989,27992.8,27992.8,27840.9,0
463,0.00866309,27992.8,27992.8,27921.1,0
464,0.00848983,27992.8,27992.8,27957.4,0
465,0.00832004,27992.8,27992.8,27874.3,0
466,0.00815364,27992.8,27992.8,27935.6,0
467,0.00799056,27992.8,27992.8,27957.6,0
468,0.00783075,27992.8,27992.8,27968.8,0
469,0.00767414,27992.8,27992.8,27874.3,0
470,0.00752065,27992.8,27992.8,27979,0
471,0.00737024,27992.8,27992.8,27879.6,0
472,0.00722284,27992.8,27992.8,27933.4,0
473,0.00707838,27992.8,27992.8,27987.6,0
474,0.00693681,27992.8,27992.8,27848.9,0
